species,leaf.sp,temperature,shredding.days,fpom,amp.weight,dead.day
DH,Sycamore,14,14,14,73.7,15
DH,Alder,14,14,5.6,49.6,15
DH,Alder,14,14,23.4,51.5,15
DH,Alder,14,14,3.6,37.1,15
DH,Alder,14,14,2.1,33.6,15
DH,Alder,14,4,1.4,39.1,5
DH,Alder,14,14,17.2,58.9,15
DH,Alder,14,14,4.1,41.3,15
DH,Sycamore,14,1,0.9,63.7,2
DH,Alder,14,14,11.5,75.5,15
DH,Alder,14,14,12.2,55.1,15
DH,Alder,14,14,13,49,15
DH,Alder,14,8,5.9,35.5,9
DH,Alder,14,6,1.2,14.1,7
DH,Alder,14,14,25.2,75.9,15
DH,Alder,14,14,20.9,61.5,15
DH,Sycamore,14,14,11.4,32.2,15
DH,Alder,14,10,3.2,43.4,11
DH,Oak,14,14,2.7,39.7,15
DH,Oak,14,0,-0.5,27,1
DH,Oak,14,14,1.3,41.1,15
DH,Oak,14,14,3.6,51.6,15
DH,Oak,14,0,-0.2,46.5,1
DH,Oak,14,14,1.6,54.6,15
DH,Oak,14,10,2.4,52.5,11
DH,Sycamore,14,14,5.5,30.5,15
DH,Oak,14,14,4.5,53.2,15
DH,Oak,14,14,3,50.5,15
DH,Oak,14,14,2.2,62.8,15
DH,Oak,14,14,1.1,21.4,15
DH,Oak,14,4,0.5,63.1,5
DH,Oak,14,10,3.4,75.9,11
